TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD,OPPOSING_TEAM,HOME,DATE
SEA,2.77,22.73,2.89,22,134,41,6.1,1.87,45.5,2,ARI,False,2024-12-08
DAL,2.59,22.22,2.45,18,131,41,7.3,2.29,55.6,0,CIN,True,2024-12-09
PHI,3.01,5,2.88,20,124,28,6.2,1.46,52.6,0,CAR,True,2024-12-08
TEN,3.9,33.33,2.9,21,102,16,4.9,0.76,38.1,0,JAX,True,2024-12-08
CAR,4.55,19.23,2.66,26,92,2,3.5,0.07,52.0,1,PHI,False,2024-12-08
ATL,4.6,18.18,2.82,22,92,10,4.2,0.5,42.9,1,MIN,False,2024-12-08
ARI,3.77,5.56,2.86,18,90,0,5.0,-0.02,27.8,0,SEA,True,2024-12-08
TB,3.25,52.94,2.55,17,90,24,5.3,1.41,64.7,1,LV,True,2024-12-08
LAR,4.7,3.45,2.76,29,87,-11,3.0,-0.39,35.7,2,BUF,True,2024-12-08
LV,2.85,40,2.47,15,78,30,5.2,2.03,60.0,0,TB,False,2024-12-08
SF,3.44,20,2.43,15,78,6,5.2,0.41,33.3,2,CHI,True,2024-12-08
MIN,3.21,15.38,3.02,13,73,20,5.6,1.55,61.5,1,ATL,True,2024-12-08
GB,3.99,50,2.66,18,66,2,3.7,0.11,44.4,3,DET,False,2024-12-05
CIN,3.52,--,2.49,14,58,-1,4.1,-0.07,50.0,0,DAL,False,2024-12-09
KC,3.2,7.14,2.43,14,55,2,3.9,0.19,53.8,0,LAC,True,2024-12-08
JAX,4.92,27.78,2.67,18,55,5,3.1,0.27,33.3,1,TEN,False,2024-12-08
PIT,5.33,75,3.22,16,53,1,3.3,0.07,43.8,1,CLE,True,2024-12-08
DET,4.24,50,2.52,14,51,7,3.6,0.56,30.8,1,DAL,False,2024-12-09
CLE,3.88,9.09,2.82,11,48,10,4.4,0.95,40.0,0,PIT,False,2024-12-08
NYG,4.66,37.5,2.69,16,45,-18,2.8,-1.15,18.8,1,NO,True,2024-12-08
NO,6.18,23.53,2.43,17,44,-7,2.6,-0.42,41.2,0,NYG,False,2024-12-08
DET,6.23,20,3.13,15,43,-23,2.9,-1.53,13.3,0,DAL,False,2024-12-09
NYJ,4.0,9.09,2.7,11,43,0,3.9,-0.01,54.5,0,MIA,False,2024-12-08
NYJ,4.17,30,2.71,10,40,5,4.0,0.47,40.0,1,MIA,False,2024-12-08
CHI,5.59,35.71,2.99,14,38,-29,2.7,-2.07,14.3,0,SF,False,2024-12-08
LAC,4.17,30,2.78,10,36,4,3.6,0.37,40.0,1,KC,False,2024-12-08
NO,7.24,10,3.33,10,32,16,3.2,1.61,60.0,1,NYG,False,2024-12-08
CLE,7.37,--,2.88,10,28,-20,2.8,-2.0,50.0,0,PIT,False,2024-12-08
MIA,7.41,42.86,2.73,14,24,-28,1.7,-1.97,14.3,1,NYJ,True,2024-12-08
